domain,agency,status,hsts,max_age,expire_time,csp,x_content_type_options,security_txt
hearttruth.org,"Department of Health and Human Services",301,true,31536000,1729066702445,false,true,false
hearttruth.net,"Department of Health and Human Services",301,true,31536000,1729066702445,false,true,false
hcgov.us,"Department of Health and Human Services",200,false,-1,-1,false,false,false
hearttruth.com,"Department of Health and Human Services",301,true,31536000,1729066702445,false,true,false
hapmap.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
gratefulmed.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
gratefulmed.net,"Department of Health and Human Services",500,false,-1,-1,false,false,false
gratefulmed.com,"Department of Health and Human Services",500,false,-1,-1,false,false,false
gratefulmed.info,"Department of Health and Human Services",500,false,-1,-1,false,false,false
genbank.xyz,"Department of Health and Human Services",500,false,-1,-1,false,false,false
genbank.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
genbank.net,"Department of Health and Human Services",500,false,-1,-1,false,false,false
howrightnow.online,"Department of Health and Human Services",500,false,-1,-1,undefined,false,false
genbank.com,"Department of Health and Human Services",500,false,-1,-1,false,false,false
gem-measures.org,"Department of Health and Human Services",301,true,31536000,1729066702445,false,true,false
everytrycounts.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
everytry.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
every-try-counts.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
docline.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
directihs.net,"Department of Health and Human Services",500,false,-1,-1,false,false,false
fatherhoodgov.info,"Department of Health and Human Services",200,false,-1,-1,false,false,false
detroitself.org,"Department of Health and Human Services",200,true,2592000,1729037758445,false,false,false
ctsu.org,"Department of Health and Human Services",301,true,31536000,1729066702445,true,true,false
csscoperations.com,"Department of Health and Human Services",200,true,31536000,1729066702445,false,true,false
coronaviruspreventionnetwork.org,"Department of Health and Human Services",301,false,-1,-1,false,false,false
citdbase.org,"Department of Health and Human Services",500,false,-1,-1,undefined,false,false
charmmtutorial.org,"Department of Health and Human Services",301,false,-1,-1,false,false,false
gem-beta.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
chainonline.org,"Department of Health and Human Services",301,false,-1,-1,undefined,false,false
charmm.org,"Department of Health and Human Services",500,false,-1,-1,true,true,false
cfsrportal.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
cahpsusernetwork.net,"Department of Health and Human Services",403,true,31536000,1729066702445,undefined,false,false
brainattackcoalition.org,"Department of Health and Human Services",403,false,-1,-1,undefined,false,false
ahrqstg.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
ahrqdev.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
ccwdata.org,"Department of Health and Human Services",302,false,-1,-1,false,true,false
ahrqadmin.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
americanmadechallenges.org,"Department of Energy",200,true,31536000,1729066702445,true,true,false
actagainstaids.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
dcsafesurrender.org,"Court Services and Offender Supervision Agency",301,false,-1,-1,false,false,false
dcsafesurrender.net,"Court Services and Offender Supervision Agency",301,false,-1,-1,false,false,false
dcsafesurrender.com,"Court Services and Offender Supervision Agency",301,false,-1,-1,false,false,false
csosadev.net,"Court Services and Offender Supervision Agency",500,false,-1,-1,false,false,false
cultureready.org,"Department of Defense",500,false,-1,-1,false,false,false
csosa.org,"Court Services and Offender Supervision Agency",301,false,-1,-1,false,false,false
csosa.net,"Court Services and Offender Supervision Agency",500,false,-1,-1,false,false,false
cdcpartners.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
csosa.mobi,"Court Services and Offender Supervision Agency",500,false,-1,-1,false,false,false
csosa.me,"Court Services and Offender Supervision Agency",500,false,-1,-1,false,false,false
csosa.com,"Court Services and Offender Supervision Agency",500,false,-1,-1,false,false,false
csosa.info,"Court Services and Offender Supervision Agency",500,false,-1,-1,false,false,false
abmceducation.org,"American Battle Memorial Commission",500,false,-1,-1,false,false,false
yesprograms.org,"Department of State",200,false,-1,-1,false,false,false
yes-abroad.org,"Department of State",200,false,-1,-1,false,false,false
csosa.co,"Court Services and Offender Supervision Agency",500,false,-1,-1,false,false,false
csosa.biz,"Court Services and Offender Supervision Agency",500,false,-1,-1,false,false,false
wibeaches.us,"Department of the Interior",301,false,-1,-1,false,true,false
westpoint.edu,"Department of the Army",500,false,-1,-1,false,false,false
westernmacfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
westernmarylandcfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
ycq2.org,"Department of Defense",200,false,-1,-1,false,false,false
