domain,agency
fmjfee.com,U.S. Citizenship and Immigration Service (USCIS)
forestryimages.org,U.S. Forest Service (USFS)
frbatlanta.org,Federal Reserve Board
frbsf.org,Federal Reserve Board
freddiemac.com,Federal Home Loan Mortgage Corporation
freefilefillableforms.com,Internal Revenue Service
fsafeds.com,Office of Personnel Management (OPM)
ftcampbellareacfc.org,Combined Federal Campaign
gatewaycfc.org,Combined Federal Campaign
genomereference.org,Department of Health and Human Services (HHS)
georgewbushlibrary.smu.edu,National Archives and Records Administration (NARA)
getsmartaboutdrugs.com,Drug Enforcement Agency (DEA)
glnpo.net,Environmental Protection Agency (EPA)
goang.com,Department of the Air Force
goarmy.com,Department of the Army
gocivilairpatrol.com,U.S. Air Force Auxiliary
gocoastguard.com,U.S. Coast Guard
godirect.org,Federal Reserve Board
gopcfc.org,Combined Federal Campaign
greaterhartfordcfc.org,Combined Federal Campaign
greatermscfc.org,Combined Federal Campaign
greaterwicfc.org,Combined Federal Campaign
greencountrycfc.org,Combined Federal Campaign
heartlandcfc.org,Combined Federal Campaign
heartofalabamacfc.org,Combined Federal Campaign
heartofthemidlandscfc.org,Combined Federal Campaign
homelandsecurity.conferenceon.tv,Department of Homeland Security (DHS)
hsdl.org,Department of Homeland Security (DHS)
hubblesite.org,National Aeronautics and Space Administration (NASA)
hudexchange.info,Department of Housing and Urban Development (HUD)
hudhomestore.com,Department of Housing and Urban Development (HUD)
hudhre.info,Department of Housing and Urban Development (HUD)
hudnsphelp.info,Department of Housing and Urban Development (HUD)
huduser.org,Department of Housing and Urban Development (HUD)
igs.org,National Aeronautics and Space Administration (NASA)
iipdigital.ait.org.tw,Department of State (DOS)
illowacfc.org,Combined Federal Campaign
informationrx.org,Health and Human Services (HHS)
insidevoa.com,U.S. Agency for Global Media
intermountaincfc.org,Combined Federal Campaign
inwcfc.org,Combined Federal Campaign
jamrs.org,Department of Defense (DOD)
jfklibrary.org,National Archives and Records Administration (NARA)
jlab.org,Department of Energy (DOE)
johnsoncity-mountainhomecfc.org,Combined Federal Campaign
kansascfc.org,Combined Federal Campaign
kcp.com,Department of Energy (DOE)
knowyouroptions.com,Federal National Mortgage Association
ktcfc.org,Combined Federal Campaign
lbjlibrary.org,National Archives and Records Administration (NARA)
leopold.wilderness.net,U.S. Forest Service (USFS)
lifeasamarine.com,U.S. Marine Corps (USMC)
literacydirectory.org,Department of Education (ED)
livingmemorialsproject.net,U.S. Forest Service (USFS)
makersinspaces.org,Department of State
manufacturingusa.com,National Institute of Standards and Technology
maricopacfc.org,Combined Federal Campaign
marineforlife.org,U.S. Marine Corps (USMC)
marinemarathon.com,U.S. Marine Corps (USMC)
marines.com,U.S. Marine Corps (USMC)
marshallcenter.org,George C. Marshall European Center for Security Studies
martinoticias.com,U.S. Agency for Global Media
mcmregistration.com,U.S. Marine Corps (USMC)
mdacareers.com,Missile Defense Agency
metrodenvercfc.org,Combined Federal Campaign
miamivalleycfc.org,Combined Federal Campaign
micanaldepanama.com,Autoridad del Canal de Panama/Panama Canal Authority
michcfc.org,Combined Federal Campaign
midlandsareacfc.org,Combined Federal Campaign
minneapolisfed.org,Federal Reserve Board
moneyfactory.com,Bureau of Engraving and Printing
moon-cal.org,U.S. Geological Survey (USGS)
myedaccount.com,Department of Education (ED)
myfuture.com,Department of Defense (DOD)
mymcx.com,U.S. Marine Corps
mynextmove.org,Employment and Training Administration
myskillsmyfuture.org,Employment and Training Administration
nagb.org,National Assessment Governing Board
nasa-usa.de,National Aeronautical and Space Administration (NASA)
nationalatlas.com,Department of Interior (DOI)
nationalatlas.org,Department of Interior (DOI)
nationalguard.com,U.S. National Guard
navy.com,Department of the Navy
navyreserve.com,Department of the Navy
ncwvcfc.org,Combined Federal Campaign
ndu.edu,National Defense University (NDU)
neabigread.org,National Endowment for the Arts (NEA)
necfuture.com,Federal Railroad Administration
nefl-sega-cfc.org,Combined Federal Campaign
nepacfc.org,Combined Federal Campaign
nevadacfc.org,Combined Federal Campaign
newhire-reporting.com,Administration for Children and Families
newmexicocfc.org,Combined Federal Campaign
newyorkfed.org,Federal Reserve Board
noradsanta.org,North American Aerospace Defense Command (NORAD)
norcalcfc.org,Combined Federal Campaign
northcoastcfc.org,Combined Federal Campaign
northernlightscfc.org,Combined Federal Campaign
northernnewenglandcfc.org,Combined Federal Campaign
northwestfloridacfc.org,Combined Federal Campaign
nps.edu,Naval Postgraduate School
nsopw.org,Department of Justice (DOJ)
nutmegcfc.org,Combined Federal Campaign
nyccfc.org,Combined Federal Campaign
okaloosa-waltoncfc.org,Combined Federal Campaign
onecpd.info,Department of Housing and Urban Development
onetonline.org,Employment and Training Administration
onslowcountycfc.org,Combined Federal Campaign
opengovplatform.org,General Services Administration (GSA)
orvcfc.org,Combined Federal Campaign
oup.org,Department of Housing and Urban Development
ownyourlimits.org,Department of Defense
pacificnwcfc.org,Combined Federal Campaign
pancanal.com,Autoridad del Canal de Panama/Panama Canal Authority
pantex.com,Department of Energy (DOE)
pbgc.org,Pension Benefit Guarantee Corporation (PBGC)
peakcfc.com,Combined Federal Campaign
pepfar.net,Department of State (DOS)
philadelphiafed.org,Federal Reserve Board
phpartners.org,Employment and Training Administration
potomaccfc.org,Combined Federal Campaign
project-open-data.github.io,General Services Administration (GSA)
psctool.us,Department of Defense
psoppc.com,Department of Health and Human Services (HHS)
psoppc.net,Department of Health and Human Services (HHS)
psoppc.org,Department of Health and Human Services (HHS)
r3coastal.com,Federal Emergency Management Agency (FEMA)
radiosawa.com,U.S. Agency for Global Media
realwarriors.net,Department of Defense
reirs.com,Nuclear Regulatory Commission
rewardsforjustice.net,Department of State (DOS)
rfa.org,U.S. Agency for Global Media
rferl.org,U.S. Agency for Global Media
riandsemacfc.org,Combined Federal Campaign
richmondfed.org,Federal Reserve Board
rockymountaincfc.org,Combined Federal Campaign
sanangelocfc.org,Combined Federal Campaign
scportal.us,Department of Defense
senccfc.org,Combined Federal Campaign
sepa-lehighcfc.org,Combined Federal Campaign
sftool.ecomedes.com,General Services Administration (GSA)
si.edu,Smithsonian Institution
smithsonian.com,Smithsonian Institution
smithsonian.org,Smithsonian Institution
smithsonianchannel.com,Smithsonian Institution
smithsonianeducation.org,Smithsonian Institution
smithsonianjourneys.org,Smithsonian Institution
smithsonianmag.com,Smithsonian Institution
smithsonianscience.org,Smithsonian Institution
smithsonianstore.com,Smithsonian Institution
smokeybear.com,U.S. Forest Service (USFS)
smokymountaincfc.org,Combined Federal Campaign
socalcfc.org,Combined Federal Campaign
southwestfloridacfc.org,Combined Federal Campaign
spaceappschallenge.org,National Aeronautics and Space Administration (NASA)
stripes.com,Department of Defense
suicidepreventionlifeline.org,Substance Abuse and Mental Health Services Administration
suncoastcfc.org,Combined Federal Campaign
t2health.org,Department of Defense
thecommunityguide.org,Department of Health and Human Services
theshoalscfc.org,Combined Federal Campaign
tnregionalcfc.org,Combined Federal Campaign
todaysdocument.tumblr.com,National Archives and Records Administration (NARA)
todaysmilitary.com,Department of Defense
trainex.org,Environmental Protection Agency (EPA)
trumanlibrary.org,National Archives and Records Administration (NARA)
tva.com,Tennessee Valley Authority
tvaed.com,Tennessee Valley Authority
tvars.com,Tennessee Valley Authority
us-mission.ch,Department of State (DOS)
usafa.edu,Department of the Air Force
usarmyjrotc.com,Department of the Army
usarmymars.org,US Army Network Enterprise Technology Command
uscga.edu,U.S. Coast Guard
uscgalaska.com,U.S. Coast Guard
uscgaux.info,U.S. Coast Guard Auxiliary
uscgboating.org,U.S. Coast Guard
uscgnews.com,U.S. Coast Guard
usda.mannlib.cornell.edu,Department of Agriculture (USDA)
usdirectexpress.com,Bureau of Fiscal Service
usembassy-china.org.cn,Department of State (DOS)
usma.edu,Department of the Army
usmc-mccs.org,U.S. Marine Corps
usmcu.edu,Marine Corps University
usmma.edu,United States Merchant Marine Academy
usna.edu,United States Naval Academy
usps.com,U.S. Postal Service
ustraveldocs.com,Department of State (DOS)
usu.edu/beetle,U.S. Forest Service (USFS)
usuhs.edu,Uniformed Services University of the Health Services
vasc.org/erc,National Aeronautics and Space Administration
veteranscrisisline.net,Department of Veterans Affairs (VA)
veteranshealthlibrary.org,
vetmedinfo.org,Health and Human Services (HHS)
voanews.com,U.S. Agency for Global Media
voatour.com,U.S. Agency for Global Media
war-on-pineapple.com,Department of Homeland Security
waterqualitydata.us,Department of Interior
westernmacfc.org,Combined Federal Campaign
westernmarylandcfc.org,Combined Federal Campaign
westpoint.edu,Department of the Army
wibeaches.us,Department of the Interior
ycq2.org,Department of Defense
yes-abroad.org,Department of State
yesprograms.org,Department of State
abmceducation.org,American Battle Memorial Commission
csosa.biz,Court Services and Offender Supervision Agency
csosa.co,Court Services and Offender Supervision Agency
csosa.com,Court Services and Offender Supervision Agency
csosa.info,Court Services and Offender Supervision Agency
csosa.me,Court Services and Offender Supervision Agency
csosa.mobi,Court Services and Offender Supervision Agency
csosa.net,Court Services and Offender Supervision Agency
csosa.org,Court Services and Offender Supervision Agency
csosadev.net,Court Services and Offender Supervision Agency
dcsafesurrender.com,Court Services and Offender Supervision Agency
dcsafesurrender.net,Court Services and Offender Supervision Agency
dcsafesurrender.org,Court Services and Offender Supervision Agency
cultureready.org,Department of Defense
americanmadechallenges.org,Department of Energy
actagainstaids.org,Department of Health and Human Services
ahrqadmin.org,Department of Health and Human Services
ahrqdev.org,Department of Health and Human Services
ahrqstg.org,Department of Health and Human Services
brainattackcoalition.org,Department of Health and Human Services
cahpsusernetwork.net,Department of Health and Human Services
ccwdata.org,Department of Health and Human Services
cdcpartners.org,Department of Health and Human Services
cfsrportal.org,Department of Health and Human Services
chainonline.org,Department of Health and Human Services
charmm.org,Department of Health and Human Services
charmmtutorial.org,Department of Health and Human Services
citdbase.org,Department of Health and Human Services
coronaviruspreventionnetwork.org,Department of Health and Human Services
csscoperations.com,Department of Health and Human Services
ctsu.org,Department of Health and Human Services
detroitself.org,Department of Health and Human Services
directihs.net,Department of Health and Human Services
docline.org,Department of Health and Human Services
every-try-counts.org,Department of Health and Human Services
everytry.org,Department of Health and Human Services
everytrycounts.org,Department of Health and Human Services
fatherhoodgov.info,Department of Health and Human Services
gem-beta.org,Department of Health and Human Services
gem-measures.org,Department of Health and Human Services
genbank.com,Department of Health and Human Services
genbank.net,Department of Health and Human Services
genbank.org,Department of Health and Human Services
genbank.xyz,Department of Health and Human Services
gratefulmed.com,Department of Health and Human Services
gratefulmed.info,Department of Health and Human Services
gratefulmed.net,Department of Health and Human Services
gratefulmed.org,Department of Health and Human Services
hapmap.org,Department of Health and Human Services
hcgov.us,Department of Health and Human Services
hearttruth.com,Department of Health and Human Services
hearttruth.net,Department of Health and Human Services
hearttruth.org,Department of Health and Human Services
hfpp-ttp.org,Department of Health and Human Services
howrightnow.com,Department of Health and Human Services
howrightnow.online,Department of Health and Human Services
howrightnow.org,Department of Health and Human Services
igm.org,Department of Health and Human Services
informationrx.info,Department of Health and Human Services
informationrx.net,Department of Health and Human Services
loansomedoc.net,Department of Health and Human Services
loansomedoc.org,Department of Health and Human Services
medicalbillrights.com,Department of Health and Human Services
medicalbillrights.net,Department of Health and Human Services
medicalbillrights.org,Department of Health and Human Services
medlars.com,Department of Health and Human Services
medlars.info,Department of Health and Human Services
medlars.net,Department of Health and Human Services
medlars.org,Department of Health and Human Services
medlars.us,Department of Health and Human Services
medlineplus.com,Department of Health and Human Services
medlineplus.net,Department of Health and Human Services
medlineplus.org,Department of Health and Human Services
medlneplus.com,Department of Health and Human Services
medlneplus.info,Department of Health and Human Services
mepsdocs.org,Department of Health and Human Services
mepstech.com,Department of Health and Human Services
mesh.org,Department of Health and Human Services
namrs.net,Department of Health and Human Services
ncands.net,Department of Health and Human Services
ncats.io,Department of Health and Human Services
nci-fyi.org,Department of Health and Human Services
ncihub.org,Department of Health and Human Services
nhlbiwgs.org,Department of Health and Human Services
nih.com,Department of Health and Human Services
nihseniorhealth.biz,Department of Health and Human Services
nihseniorhealth.com,Department of Health and Human Services
nihseniorhealth.info,Department of Health and Human Services
nihseniorhealth.net,Department of Health and Human Services
nihseniorhealth.org,Department of Health and Human Services
nlm.net,Department of Health and Human Services
nlm.org,Department of Health and Human Services
nlmgiftshop.com,Department of Health and Human Services
nlmgiftshop.info,Department of Health and Human Services
nlmgiftshop.net,Department of Health and Human Services
oahpmdata.net,Department of Health and Human Services
pccds-ln.org,Department of Health and Human Services
pccqualitymonitoring.com,Department of Health and Human Services
pcorcds-ln.org,Department of Health and Human Services
phiresearchlab.org,Department of Health and Human Services
phs-nurse.org,Department of Health and Human Services
presidentschallenge.org,Department of Health and Human Services
proteincapture.org,Department of Health and Human Services
psoppc.info,Department of Health and Human Services
pubchem.biz,Department of Health and Human Services
pubchem.info,Department of Health and Human Services
pubchem.us,Department of Health and Human Services
pubmed-central.com,Department of Health and Human Services
pubmed-central.info,Department of Health and Human Services
pubmed-central.net,Department of Health and Human Services
pubmed-central.org,Department of Health and Human Services
pubmedcentral.info,Department of Health and Human Services
pubmedcentral.us,Department of Health and Human Services
qualitynet.org,Department of Health and Human Services
quehacerahora.org,Department of Health and Human Services
racwarehouse.org,Department of Health and Human Services
scienceforum.sc,Department of Health and Human Services
sisterstudy.org,Department of Health and Human Services
sitenv.org,Department of Health and Human Services
ssbgportal.net,Department of Health and Human Services
thehearttruth.com,Department of Health and Human Services
thehearttruth.net,Department of Health and Human Services
thehearttruth.org,Department of Health and Human Services
thesisterstudy.org,Department of Health and Human Services
uspreventiveservicestaskforce.org,Department of Health and Human Services
vaccinefinder.org,Department of Health and Human Services
vetmed.wiki,Department of Health and Human Services
vetmedinfo.net,Department of Health and Human Services
worklife4you.com,Department of Health and Human Services
cdmdashboard.com,Department of Homeland Security
cyberstorm8.com,Department of Homeland Security
protectivedns.net,Department of Homeland Security
acinet.org,Department of Labor
alx.org,Department of Labor
bonds4jobs.com,Department of Labor
capeyouth.org,Department of Labor
epolicyworks.org,Department of Labor
euusosh.org,Department of Labor
inclusiveapprenticeship.org,Department of Labor
jcmarketplace.com,Department of Labor
jcsuccess.org,Department of Labor
jctalentworks.com,Department of Labor
jobcorps.org,Department of Labor
joinjobcorps.com,Department of Labor
mynextmove.org,Department of Labor
neapmap.com,Department of Labor
onetcenter.org,Department of Labor
peatworks.org,Department of Labor
servicelocator.org,Department of Labor
useuosh.org,Department of Labor
ustedquepuedehacer.org,Department of Labor
whatcanyoudocampaign.org,Department of Labor
workforcegps.org,Department of Labor
rfj.tips,Department of State
doi.net,Department of the Interior
fedroom.com,General Services Administration
cfcgiving.org,Office of Personnel Management
combinedfederal.org,Office of Personnel Management
federalcampaign.org,Office of Personnel Management
usajobs.com,Office of Personnel Management
usajobsassess.com,Office of Personnel Management
usajobsassess.us,Office of Personnel Management
usajobsrecruit.com,Office of Personnel Management
usajobsrecruit.us,Office of Personnel Management
xsp.org,Office of Personnel Management
pbgc.biz,Pension Benefit Guaranty Corporation
pbgc.com,Pension Benefit Guaranty Corporation
pbgc.net,Pension Benefit Guaranty Corporation
pbgc.us,Pension Benefit Guaranty Corporation
howeycoins.com,Securities and Exchange Commission
artcollectorsprogram.org,Smithsonian Institution
cicadamerch.com,Smithsonian Institution
discoverytheater.org,Smithsonian Institution
ecosystemsontheedge.org,Smithsonian Institution
ellajenkins.com,Smithsonian Institution
mughalgardens.org,Smithsonian Institution
museumonmainstreet.org,Smithsonian Institution
nmaahcstore.com,Smithsonian Institution
paleoglot.org,Smithsonian Institution
searchablemuseum.com,Smithsonian Institution
seecstories.com,Smithsonian Institution
smithsonianapa.org,Smithsonian Institution
smithsonianchambermusic.org,Smithsonian Institution
smithsoniancraft2wear.org,Smithsonian Institution
smithsoniancraftshow.org,Smithsonian Institution
smithsonianearthtv.com,Smithsonian Institution
smithsonianstudentadventures.com,Smithsonian Institution
monitor.net.co,United States Agency for International Development
otianywhere.net,United States Agency for International Development 
shopvcs.com,Department of Veterans Affairs
treatmentworksforvets.org,Department of Veterans Affairs
vaitcampus.com,Department of Veterans Affairs
vavmc.com,Department of Veterans Affairs
usarmyband.com,Department of Defense
jocogov.org,"Johnson County, Kansas"
altoonawater.gov,Altoona Water Authority
cityofmonongahela-pa.gov,"City of Monongahela, Pennsylvania"
bha.colorado.gov,Colorado Behavioral Health Administration
earthquake.usgs.gov,United States Geological Survey
waterdata.usgs.gov,United States Geological Survey
dashboard.waterdata.usgs.gov,United States Geological Survey
store.usgs.gov,United States Geological Survey
earthexplorer.usgs.gov,United States Geological Survey
ngmdb.usgs.gov,United States Geological Survey
ers.cr.usgs.gov,United States Geological Survey
volcanoes.usgs.gov,United States Geological Survey
water.usgs.gov,United States Geological Survey
ipdaac.usgs.gov,United States Geological Survey
apps.nationalmap.gov,United States Geological Survey
